breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Cesky Terrier,"Cesky adalah pemburu berotot, berkaki pendek, dan tampan yang tingginya tidak lebih dari 13 inci di bahu. Bulu halus dan halus hadir dalam beberapa warna abu-abu, termasuk platinum yang menakjubkan. Bulu wajah yang bergelombang memberikan tampilan Cesky yang sporty dan Kontinental, dan leher yang panjangnya sedang memberikan sedikit keanggunan pada permainan ini, anjing terrier yang masih bekerja. Meskipun Cesky memiliki tekad dan nafsu makan yang sama seperti anjing tanah lainnya, mereka lebih lembut daripada anjing tanah lainnya. terrier yang khas. Waspada terhadap orang asing dan protektif terhadap orang yang dicintai, mereka adalah anjing penjaga yang baik tanpa terlalu suka menyalak. Mereka berlatih dengan baik dan ingin menyenangkan. Inilah masalahnya: Mereka adalah ras yang langka, hanya sekitar 600 ekor yang tinggal di Amerika. Anjing keluarga yang luar biasa, jika Anda cukup beruntung menemukannya. Cesky Terrier, anjing nasional Republik Ceko, adalah teman bermain yang cerdas dan suka berpetualang bagi anak-anak serta teman berjalan yang bersemangat bagi orang-orang. Mereka ulet dalam bekerja, tetapi sedikit lebih santai dan penurut dibandingkan terrier biasa.","Pintar, Petualang, Berorientasi Keluarga",185,25.4,33.02,6.35029318,10.88621688,12.0,15.0,Terrier Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.6,Latihan rutin,0.6,Menyenangkan,0.4,Dicadangkan dengan Orang Asing
Chesapeake Bay Retriever,"Catur adalah gundog yang kuat dan kekar dengan tinggi bahu antara 21 hingga 26 inci. Laki-laki dapat memiliki berat hingga 80 pon. Ciri khas ras ini adalah bulunya yang bergelombang dan berminyak saat disentuh. Catur berwarna solid, bisa coklat coklat, sedge, atau rumput mati, dengan mata kuning-kuning tajam yang melengkapi bulunya dengan baik. Catur lebih kompleks secara emosional daripada gundog biasa. Para pemain catur mengikuti pelatihan, namun mereka memiliki pemikirannya sendiri dan dapat dengan gigih menempuh jalurnya sendiri. Mereka protektif terhadap manusianya dan sopan, tetapi tidak terlalu ramah terhadap orang asing. Pemain catur bisa menjadi anjing penjaga yang sangat baik dan merupakan atlet yang serba bisa. Chessie yang suka bersosialisasi dengan baik adalah teman yang percaya diri dan teman berburu kelas dunia. Chesapeake Bay Retriever, anjing bebek tak tertandingi dari Atlantik Tengah, adalah anjing asli Amerika yang mewujudkan ciri-ciri klasik seekor retriever yang baik: setia, ceria, penuh kasih sayang, dan tak kenal lelah. Chessie terkenal dengan mantel tahan airnya.","Penyayang, Cerah, Sensitif",45,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.8,Secara teratur,0.8,Energik,0.6,Menyenangkan,0.4,Dicadangkan dengan Orang Asing
Chihuahua,"Chihuahua adalah anjing yang seimbang dan anggun dengan sikap seperti terrier, dengan berat tidak lebih dari 6 pon. Kepala “apel” yang membulat adalah ciri khas ras ini. Telinga yang tegak dan mata yang penuh dan bercahaya sangat ekspresif. Mantel tersedia dalam berbagai warna dan pola, dan bisa panjang atau pendek. Varietasnya identik kecuali bulunya. Chihuahua memiliki kesetiaan, pesona, dan sikap anjing besar. Bahkan anjing kecil pun memerlukan pelatihan, dan tanpanya, penipu cerdik ini akan mengatur rumah tangga Anda seperti Napoleon kecil. Ringkas dan percaya diri, Chihuahua adalah hewan peliharaan kota yang ideal. Mereka terlalu kecil untuk bermain kasar dengan anak-anak, dan perhatian khusus harus diberikan dalam cuaca dingin, tetapi Chihuahua mudah beradaptasi—asalkan mereka mendapatkan banyak waktu berkualitas di pangkuan pilihan mereka. Chihuahua adalah anjing kecil dengan kepribadian yang besar. Sebagai simbol nasional Meksiko, ""anjing dompet"" yang waspada dan lucu ini termasuk di antara ras tertua di Amerika, dengan garis keturunan yang berasal dari kerajaan kuno zaman pra-Columbus.","Menawan, Anggun, Lancang",33,12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.6,Latihan rutin,0.4,Mandiri,0.6,Waspada/Responsif
Chinese Crested,"Chinese Crested, ras mainan yang lincah dan waspada dengan tinggi antara 11 dan 13 inci, bisa tidak berbulu atau dilapisi. Varietas tidak berbulu memiliki kulit halus dan lembut serta jambul rambut di kepala, ekor, dan pergelangan kaki. Variasi yang dilapisi, disebut “powderpuff,” ditutupi oleh bulu yang lembut dan halus. Selain mantelnya, hanya ada sedikit perbedaan antara bedak dan saudaranya yang tidak mengenakan pakaian. Kedua varietas ini dicirikan oleh keanggunan tulang yang halus dan gerakan yang anggun. Jambul sama menyenangkannya dengan penampilannya: ceria, penuh kasih sayang, dan mengabdi pada manusia. Yang tidak berbulu memiliki kelebihan: tidak berbau anjing, dan untuk alasan yang jelas, kerontokan bulu tidak menjadi masalah. Kedua varietas ini adalah teman serumah yang penuh perhatian, sangat selaras dengan keluarganya. Dengan kulitnya yang berwarna merah jambu, tatanan rambut “jambul” runcing, kaus kaki berbulu, dan ekor berbulu, Anda tidak dapat salah mengira Chinese Crested yang manis dan ramping dengan ras lainnya. Anjing pendamping yang suka bermain-main dan sangat penyayang ini benar-benar merupakan ras yang berbeda.","Penuh kasih sayang, Waspada, Lincah",79,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group,0.2,Sesekali Mandi/Sikat,0.2,Jarang,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Chinese Shar-Pei,"Shar-Pei Tiongkok berukuran sedang dan kompak merupakan gabungan dari ciri-ciri fisik yang aneh: moncong “kuda nil” yang lebar; lidah berwarna biru kehitaman; mata kecil cekung dengan ekspresi cemberut; telinga segitiga kecil; banyak lipatan kulit kendur di sekitar kepala, leher, dan bahu; ekornya yang meruncing dan tinggi—semuanya diselimuti lapisan amplas yang kasar. (Terjemahan literal dari Shar-Pei: “kulit pasir.”) Shar-Pei adalah wali yang kuat, agung, dan mandiri yang terkenal karena kecerdasan dan kesetiaannya. Mereka curiga terhadap orang asing dan anjing lain. Shar-Pei adalah anjing yang tenang, tetapi mereka akan menghadapi ancaman dengan kegigihan dan semangat. Pelatihan dan sosialisasi dini sangat penting—Shar-Pei dewasa yang dominan tanpa mereka akan menjadi masalah serius yang akan terjadi. Jenis silsilah kuno yang menarik namun menantang ini sangat setia kepada keluarga, tetapi angkuh terhadap orang asing. Shar-Pei Tiongkok memiliki ciri fisik yang menjadikannya anjing pendamping dan penjaga yang unik.","Setia, Mandiri, Tenang",64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,0.2,Sesekali Mandi/Sikat,0.8,Secara teratur,0.6,Latihan rutin,0.2,Mungkin keras kepala,0.4,Dicadangkan dengan Orang Asing
Chinook,"Chinook berlapis kuning kecoklatan dan tanpa embel-embel berotot dan besar, dengan jantan berdiri setinggi 26 inci di bahu. Betina, dengan penampilan femininnya, berukuran sedikit lebih kecil. Chinook dianggap sebagai pengangkut serba guna, dengan kekuatan anjing pengangkut dan kecepatan pembalap kereta luncur. Mereka adalah gambaran dari martabat yang gagah, dengan binar ramah di mata mereka yang gelap dan berbentuk almond. Chinook adalah anjing yang tenang dan berorientasi pada manusia dengan perasaan khusus terhadap anak-anak. Mereka adalah pekerja terlatih yang bertujuan untuk menyenangkan. Kereta luncur, pengangkutan, kepatuhan, ketangkasan, pekerjaan pencarian dan penyelamatan, dan penggembala adalah beberapa kegiatan yang telah mereka kuasai. Chinook bukanlah anjing yang sangat sibuk, tetapi mereka membutuhkan latihan yang konsisten agar tetap dalam kondisi keras. Kebanggaan Wonalancet, New Hampshire, Chinook adalah anjing pekerja yang tangguh dan hewan peliharaan keluarga yang setia yang dikenal karena kecerdasan, kesabaran, dan keinginannya untuk menyenangkan. Setelah berada di ambang kepunahan, Chinook adalah salah satu ras AKC yang paling langka.","Cerdas, Sabar, Berbakti",190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,0.8,Ramah
Chow Chow,"Chow adalah anjing yang kuat dan bertubuh kompak dengan tinggi bahu mencapai 20 inci. Ciri khas mereka antara lain bulu surai singa di sekitar kepala dan bahu; lidah berwarna biru kehitaman; mata almond cekung yang menambah ekspresi cemberut dan sombong; dan gaya berjalan yang kaku. Chow dapat memiliki lapisan kasar atau halus berwarna merah, hitam, biru, kayu manis, atau krem. Pemiliknya mengatakan Chow adalah anjing yang paling bersih: Mereka mudah keluar rumah, memiliki sedikit bau anjing, dan dikenal sangat teliti seperti kucing. Chow yang bersosialisasi dengan baik tidak pernah galak atau keras kepala, namun selalu halus dan bermartabat. Mereka menyendiri dengan orang asing dan selalu setia kepada orang yang dicintai. Tenang dan mudah beradaptasi, tanpa kebutuhan olahraga khusus, Chows dengan senang hati menjalani kehidupan kota. Chow Chow, anjing serba guna dari Tiongkok kuno, menampilkan gambaran seorang bangsawan berotot dan berdada besar dengan aura keabadian yang tak dapat dipahami. Bermartabat, berpikiran serius, dan menyendiri, Chow Chow adalah jenis makanan yang unik.","Bermartabat, Cerah, Berpikiran Serius",75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,0.2,Mungkin keras kepala,0.4,Dicadangkan dengan Orang Asing
Cirneco dell’Etna,"Dengan tinggi di bawah 20 inci, Cirneco (“cheer-NEK-o”; Cirnechi adalah bentuk jamak) sering digambarkan menyerupai versi yang lebih kecil dari Pharaoh Hound, sepupunya dari pulau Malta. Mantel pemburu yang ramping namun kasar ini berkisar dari warna coklat muda sampai coklat tua atau kastanye. Telinganya yang besar dan tegak menunjukkan ekspresi mata yang waspada, yang warna kuning atau okernya melengkapi bulunya dengan cerdas. Dalam banyak hal, orang Sisilia yang lincah dan berkaki panjang ini adalah anjing pemburu yang khas: baik hati, mandiri, dan, tentu saja, sangat gesit. Namun, dikatakan bahwa Cirnechi sedikit lebih mudah dilatih daripada anjing pengintai biasa. Artefak-artefak kuno yang masih hidup ini telah memasuki abad ke-21 dengan relatif tidak berubah seiring dengan tren dan khayalan yang berlalu-lalang. Cirneco dell'Etna yang ramping dan berotot, anjing pemburu kuno di Sisilia, adalah pemburu atletis yang terbiasa dengan kecepatan tinggi. Sebagai anjing rumahan, Cirnechi adalah teman yang lembut dan tidak banyak perawatan yang disayangi karena sifat setia dan lembutnya.","Penyayang, Ramah, Mandiri",183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.2,Jarang,0.6,Latihan rutin,0.6,Menyenangkan,0.6,Waspada/Responsif
Clumber Spaniel,"Clumber Spaniel adalah anjing burung yang kuat dengan tulang yang berat, bertubuh panjang dan rendah, dengan kepala yang besar. Tingginya 17 hingga 20 inci; betina kecil mungkin memiliki berat 55 pon, dan jantan besar bisa mencapai 85 pon. Dibangun untuk menembus lapisan tebal di lapangan, pergerakan Clumber tetap bebas dan mudah. Bulu lebatnya sebagian besar berwarna putih, dengan sedikit tanda lemon atau oranye. Clumber manis dan santai di rumah, tetapi orang yang suka beraktivitas di luar ruangan ini tidak henti-hentinya mencium aroma. Clumber yang cerdas dan bersemangat merespons pelatihan dengan baik. Meskipun agak waspada jika berada di dekat orang asing, Clumber adalah anjing ramah yang menggonggong hanya jika ada yang ingin mereka katakan, sehingga menjadi anjing penjaga yang acuh tak acuh. Mereka suka berenang dan bermain lempar tangkap, dan merupakan teman bermain masa kecil yang kuat. Sebagai pendamping berburu raja yang bermartabat dan lembut, Clumber Spaniel adalah anjing spaniel AKC terbesar. Bagi mereka yang bisa menahan air liur dan air liur, Clumber yang ramah adalah sahabat yang lucu dan teman serumah yang sopan.","Lembut, Lucu, Gentlemanly",143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,0.4,Menyikat Gigi Mingguan,0.8,Secara teratur,0.6,Latihan rutin,0.6,Menyenangkan,0.4,Dicadangkan dengan Orang Asing
Cocker Spaniel,"Mata yang besar dan gelap itu; ekspresi manis itu; telinga panjang dan rimbun yang praktis menuntut untuk disentuh—tidak heran Cocker menghabiskan waktu bertahun-tahun sebagai ras paling populer di Amerika. Cocker adalah spaniel olahraga terkecil di AKC, dengan tinggi sekitar 14 hingga 15 inci. Mantel ini hadir dalam warna dan pola yang cukup untuk memuaskan selera apa pun. Tubuhnya yang seimbang kokoh dan kokoh, dan gundog yang cepat dan tahan lama ini bergerak dengan gaya berjalan yang halus dan mudah. ​​Cockers adalah teman bermain yang bersemangat untuk anak-anak dan mudah dilatih sebagai teman dan atlet. Mereka cukup besar untuk menjadi sporty, namun cukup kompak untuk dibawa-bawa. Seekor Cocker dengan bulu penuh memberi penghargaan pada waktu perawatan ekstra dengan menjadi anjing tercantik di lingkungannya. Anjing olahragawan yang energik ini menyukai waktu bermain dan jalan cepat. Cocker Spaniel yang ceria dan suka bermain, dengan matanya yang besar dan indah serta kepribadiannya yang nakal, adalah salah satu ras yang paling disukai di dunia. Mereka dikembangkan sebagai anjing pemburu, tetapi Cockers mendapatkan popularitas luas sebagai teman serba bisa.","Lembut, Cerdas, Bahagia",30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,0.8,Menyikat Setiap Hari,0.4,Sesekali,0.6,Latihan rutin,1.0,Ingin menyenangkan,1.0,Keluar
Collie,"Collie adalah penggembala besar namun lincah dengan tinggi antara 22 hingga 26 inci. Variasi kasarnya memiliki salah satu bulu paling mencolok di dunia anjing; pesona mantel halusnya lebih halus namun tidak kalah memuaskan. Warna bulu pada kedua varietas tersebut adalah sable dan putih, tiga warna, merle biru, atau putih. Para peternak Collie bangga dengan kepala ras mereka yang berbentuk baji yang elegan, dengan telinga yang bergerak dan mata almond yang menyampaikan berbagai macam ekspresi. Collie terkenal menyukai anak-anak dan merupakan hewan peliharaan keluarga yang menyenangkan. Anjing yang gesit dan atletis ini tumbuh subur dalam persahabatan dan olahraga teratur. Dengan pelatihan yang lembut, mereka belajar dengan gembira dan cepat. Kesetiaan, kecerdasan, dan karakter cemerlang Collie adalah legenda. Collie yang agung, berkat seratus tahun menjadi bintang budaya pop, adalah salah satu ras anjing yang paling dikenal dan dicintai di dunia. Collie “kasar” berlapis penuh adalah jenis yang lebih dikenal, tetapi ada juga Collie “halus” yang ramping.","Berbakti, Anggun, Bangga",38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,0.8,Pelatihan Mudah,0.8,Ramah
Coton de Tulear,"Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) adalah anjing kecil yang sangat menawan dengan tinggi antara 9 dan 11 inci dan berat antara 8 hingga 13 pon. Coton dikenal dengan bulu putihnya yang banyak dan selembut kapas (atau, seperti kata orang Prancis, “coton”). Tugas utama mereka adalah memberikan hiburan, kenyamanan, dan persahabatan. Ikatan antara Cotons dan orang-orangnya begitu erat sehingga pemiliknya mendiskusikannya secara manusiawi. Para pecinta Coton menggambarkan mereka sebagai teman yang “cerdas” “terkadang gaduh tetapi tidak pernah menuntut” dan “secara alami bersifat badut dan periang”, yang memiliki “kesadaran yang sangat lembut dan simpatik”. Ciri-ciri lucu dari pelawak berumur panjang ini termasuk vokalisasi unik dan kemampuan berjalan dengan kaki belakang. Coton de Tulear, “Anjing Kerajaan Madagaskar,” adalah anjing pendamping yang cerdas dan ceria yang aktivitas favoritnya meliputi melucu, berjalan-jalan, dan mengikuti manusia istimewanya di sekitar rumah. Coton kecil tapi kokoh kokoh.","Menawan, Cerah, Selamat Beruntung",81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,0.8,Menyikat Setiap Hari,0.4,Sesekali,0.6,Latihan rutin,0.8,Pelatihan Mudah,1.0,Keluar
Croatian Sheepdog,"Petar Horvat, uskup Djakovo, menulis pada tahun 1374 bahwa orang Kroasia membawa seekor anjing gembala saat bepergian ke tanah baru mereka. Dia menyebut anjing itu sebagai Canis Pastoralis Croaticus—Anjing Gembala Kroasia. Uskup Djakovo, Peter Bakic juga menulis tentang Anjing Gembala Kroasia dalam manuskripnya tahun 1719 “Tentang Kehidupan Masyarakat dan Peningkatan Stok di Djakovo dan Sekitarnya pada tahun 1719 ”. Dia mengutip kata-kata yang ditulis oleh Uskup Petar pada tahun 1374 dan, dengan memberikan gambarannya sendiri tentang anjing tersebut, menyatakan bahwa Anjing Gembala Kroasia tidak berubah sejak pencatatan (dari tahun 1374 hingga 1719) dan tidak berubah penampilan dari yang dijelaskan oleh Uskup Petar pada tahun 1374. 1374. Program pemuliaan seleksi sistematis dimulai oleh “bapak ras” – dokter hewan Prof Dr Stjepan Romic pada tahun 1935 dengan anjing di wilayah Djakovo.  Setelah 34 tahun bekerja, trah ini diakui oleh FCI pada tahun 1969. Anjing Gembala Kroasia adalah anjing gembala yang gesit, suka membantu, dan rendah hati, mandiri terhadap pemiliknya, berani, dan dapat dipercaya. Dia adalah penguasa sejati atas kawanannya, sering kali berlari melewati bagian belakang kawanan untuk mencapai titik intervensi sesegera mungkin.","Setia, Aktif, Waspada dan Cerdas",,40.64,50.8,13.15417873,19.95806428,13.0,14.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,1.0,Membutuhkan Banyak Aktivitas,1.0,Ingin menyenangkan,0.4,Dicadangkan dengan Orang Asing
Curly-Coated Retriever,"Rambut ikal Curly-Coated Retriever yang ketat dan tajam berwarna hitam atau hati berfungsi sebagai perlengkapan segala cuaca yang tahan air dan tahan duri untuk bekerja di semak berduri tebal dan danau es. Curly adalah anjing penembak yang besar dan tahan lama, tetapi lebih anggun dan anggun dibandingkan anjing retriever lainnya. Ciri lain yang membedakan Curlies dari retriever biasa adalah kepalanya yang meruncing dan berbentuk baji. Seperti Labrador dan Goldens, Curlies penuh kasih sayang dan lembut, tetapi mereka sedikit lebih mandiri dan tidak terlalu membutuhkan. Main-main dan nakal dengan orang yang dicintai, Curlies bisa menyendiri dengan orang asing. Kewaspadaan ini membuat mereka menjadi anjing penjaga yang lebih cerdas dibandingkan anjing retriever lainnya yang lebih suka berteman. Anjing yang tak kenal lelah ini membutuhkan banyak olahraga di luar ruangan. Curlies yang bosan dan setengah menganggur hanya sedikit. Curly-Coated Retriever, salah satu ras retriever tertua, adalah gundog yang terkenal serba bisa dan perenang tiada tara. Tenang, bangga, dan sangat cerdas, si Curly adalah orang yang suka berpikir dan tidak akan pernah berhenti sebelum Anda melakukannya.","Percaya Diri, Bangga, Sangat Cerdas",162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
